"service","scenario","concurrency","requests","ok","failed","wall_ms","rps","min_ms","avg_ms","median_ms","p90_ms","p95_ms","p99_ms","max_ms","bytes_avg"
"docker","csv-to-json","1","100","100","0","557.9455999977654","179.22894275069203","1.031","5.537811","1.30655","16.4793","24.3425","26.672","27.3556","197"
"docker","csv-to-json","5","100","100","0","85.6973999980255","1166.8965453129738","1.1133","3.786972","1.50025","13.5178","15.2765","25.6741","26.3613","197"
"docker","csv-to-json","10","100","100","0","37.59929999796441","2659.6239825053635","1.8995","3.418934","3.2518000000000002","4.3126","4.8347","5.975","15.129","197"
"docker","csv-to-json","25","100","100","0","51.8088999997417","1930.1702989350974","2.0915","6.815938","5.6012","12.0338","13.2956","14.8222","23.1","197"
"docker","csv-to-json","50","100","100","0","41.36880000078236","2417.280655907564","2.7436","4.841514","4.7505","6.5059","6.8321","7.6546","7.7954","197"
"docker","health","1","100","100","0","611.6656000012881","163.48802352100464","1.0882","6.058478","2.13905","17.8897","24.4459","27.0868","27.5237","22"
"docker","health","5","100","100","0","74.5987000009336","1340.5059337327393","1.306","3.019718","2.0149","3.5236","5.1683","22.8679","25.5843","22"
"docker","health","10","100","100","0","47.609100001864135","2100.4387815792466","1.6917","4.344019","3.9509499999999997","6.6898","7.8991","8.9257","19.2849","22"
"docker","health","25","100","100","0","45.153400002163835","2214.6726491295854","2.7146","6.897591","6.23125","10.008","10.9535","13.4911","15.0651","22"
"docker","health","50","100","100","0","50.17940000107046","1992.8496553937816","2.3079","5.802213","5.5168","8.1416","10.0447","11.0029","20.3818","22"
"docker","image-grayscale","1","100","100","0","1078.401800001302","92.72981554730275","3.5412","10.735769","4.77375","26.3308","29.0468","30.1685","31.0848","26277"
"docker","image-grayscale","5","100","100","0","170.6469000018842","586.0053713187632","3.6237","8.38792","4.4043","23.4791","25.6955","28.3401","30.0113","26277"
"docker","image-grayscale","10","100","100","0","106.05059999943478","942.9461030916655","4.5491","8.538847","6.9918499999999995","13.7696","19.2213","27.8639","30.8821","26277"
"docker","image-grayscale","25","100","100","0","100.65940000276896","993.4491959742377","11.4678","21.701632","21.50035","27.918","30.6117","35.3823","36.9554","26277"
"docker","image-grayscale","50","100","100","0","98.63649999897461","1013.8234832038805","9.4908","23.197679","22.00515","32.5083","33.5922","34.6915","36.7351","26277"
"docker","image-metadata","1","100","100","0","756.0499999999593","132.26638449838686","2.0142","7.516373","2.5005499999999996","20.4252","26.2433","28.1873","28.1974","55"
"docker","image-metadata","5","100","100","0","129.54899999749614","771.9086986540441","2.0612","6.065774","2.6109","20.55","22.0464","29.272","30.5051","55"
"docker","image-metadata","10","100","100","0","60.00050000147894","1666.6527778524367","2.8926","5.188929","4.12205","7.675","9.3252","22.9242","26.8038","55"
"docker","image-metadata","25","100","100","0","65.71309999708319","1521.7665884646851","5.0899","12.855891","12.370999999999999","18.9751","19.7189","28.3389","35.2016","55"
"docker","image-metadata","50","100","100","0","67.49099999797181","1481.679038731166","5.3262","10.934808","10.47165","14.1204","15.8458","17.5393","19.2867","55"
"docker","image-resize","1","100","100","0","2393.548899999587","41.77896678861136","6.2779","23.870428","29.9821","31.8052","32.0493","32.9057","32.9237","22304"
"docker","image-resize","5","100","100","0","245.74270000084653","406.9296870249066","5.7282","11.887834","8.16055","26.2561","28.8385","32.6377","33.8957","22304"
"docker","image-resize","10","100","100","0","182.41869999837945","548.1894126034687","6.2547","17.074607","15.537199999999999","24.7927","29.0553","36.4821","37.5926","22304"
"docker","image-resize","25","100","100","0","182.5447000010172","547.8110292955247","10.7381","37.738371","38.96785","50.6167","53.4981","60.8275","65.1741","22304"
"docker","image-resize","50","100","100","0","168.3325000012701","594.0623468388189","22.7969","56.467524","55.46515","72.0284","73.7442","78.3781","79.4646","22304"
"docker","json-to-csv","1","100","100","0","800.8076000005531","124.87393975772824","1.0429","7.95881","2.1163499999999997","21.5822","26.6665","28.4358","30.4417","65"
"docker","json-to-csv","5","100","100","0","89.89119999750983","1112.4559467753263","1.0735","3.707306","1.48605","13.1768","18.3818","24.5704","25.0315","65"
"docker","json-to-csv","10","100","100","0","44.611499997699866","2241.574482031672","1.5692","3.8226050000000003","3.28765","5.4648","6.3021","18.1502","19.2069","65"
"docker","json-to-csv","25","100","100","0","39.06469999856199","2559.855829013946","1.729","5.823614","5.63885","8.642","9.5516","9.9728","10.8859","65"
"docker","json-to-csv","50","100","100","0","39.842500002123415","2509.882662851741","2.1777","4.436696","4.34825","5.9524","6.3562","7.5262","7.5337","65"
"docker","validate-json","1","100","100","0","763.5114999975485","130.97379672777828","1.1312","7.582342","1.9794","21.1903","25.6484","28.9516","30.4301","39"
"docker","validate-json","5","100","100","0","90.86569999999483","1100.5252807165487","1.2315","3.634869","1.77475","12.0163","15.7838","26.5635","27.789","39"
"docker","validate-json","10","100","100","0","43.36200000034296","2306.1666897100936","2.0255","3.997144","3.7714499999999997","5.7872","6.9508","8.0403","8.3605","39"
"docker","validate-json","25","100","100","0","41.2307000005967","2425.3772067549853","2.7563","6.526047","6.4692","9.0706","10.0943","10.975","12.8253","39"
"docker","validate-json","50","100","100","0","43.30309999932069","2309.303491010314","2.2477","4.773224","4.4164","6.0301","7.009","18.0398","18.1755","39"
"docker","validate-json-schema","1","100","100","0","508.89900000038324","196.50264590797917","1.0665","5.04526","1.4876","17.3529","23.4498","26.9766","29.895","35"
"docker","validate-json-schema","5","100","100","0","103.7428000017826","963.9223155561804","1.1557","4.551711","1.75625","14.7918","24.5128","26.1197","28.7515","35"
"docker","validate-json-schema","10","100","100","0","61.63079999896581","1622.5653407334976","1.5655","3.776413","3.3305499999999997","4.3095","4.6621","21.2594","27.022","35"
"docker","validate-json-schema","25","100","100","0","45.19570000047679","2212.5998712033456","2.8172","6.495731","5.96355","9.0114","11.471","11.9324","26.238","35"
"docker","validate-json-schema","50","100","100","0","44.27880000002915","2258.417120607021","2.4632","5.28446","5.20245","7.2418","8.0083","8.4504","9.6343","35"
"spin","csv-to-json","1","100","100","0","1249.3882999988273","80.03916796731157","1.4428","12.438649","14.965150000000001","16.8493","17.5824","25.84","27.0674","197"
"spin","csv-to-json","5","100","100","0","151.85009999913746","658.5441827207754","1.056","6.915613","2.1601","22.5323","24.8903","28.2028","29.7194","197"
"spin","csv-to-json","10","100","100","0","37.8792000010435","2639.9712770397787","1.3758","3.489523","3.3175","4.3914","4.8597","15.472","17.5471","197"
"spin","csv-to-json","25","100","100","0","36.09589999905438","2770.397746076971","1.7865","5.495006","5.4003499999999995","7.2425","7.8945","9.1177","14.1431","197"
"spin","csv-to-json","50","100","100","0","34.31239999918034","2914.3982933979787","3.1195","4.986345","4.63835","6.3379","6.8199","7.3055","16.7704","197"
